wavelength,R sensitivity,G sensitivity,B sensitivity
754,0.00031,0.0001,0.00001
756,0.00031,0.0001,0.00001
758,0.0003,0.0001,0.00001
760,0.0003,0.0001,0.00001
762,0.0003,0.0001,0.00001
764,0.0003,0.0001,0.00001
766,0.0003,0.00009,0.00001
768,0.0003,0.00009,0.00001
770,0.0003,0.00009,0.00001
772,0.00029,0.00009,0.00001
774,0.00029,0.00009,0.00001
776,0.00029,0.00009,0.00001
778,0.00029,0.00009,0.00001
780,0.00028,0.00009,0.00001
380,0.00004,0.00001,0.00003
400,0.00077,0.00015,0.00188
420,0.06722,0.02983,0.34992
440,0.0611,0.06639,0.58798
460,0.04725,0.13856,0.70654
480,0.0528,0.32579,0.67319
500,0.0477,0.50063,0.43148
520,0.08196,0.83026,0.18235
540,0.07123,0.89002,0.09054
560,0.07531,0.70985,0.04346
580,0.55713,0.39907,0.02231
600,0.69027,0.09069,0.00801
620,0.47035,0.02679,0.00412
640,0.27561,0.0149,0.00355
660,0.11715,0.00768,0.00291
680,0.03895,0.00484,0.0014
700,0.01164,0.00241,0.00055
720,0.00274,0.00058,0.0001
740,0.00067,0.00017,0.00002
760,0.0003,0.0001,0.00001
780,0.00028,0.00009,0.00001
